YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2014,11,89617,22995,Cargurus
2021,4,47793,23888,Cargurus
2019,6,55735,25730,Cargurus
2018,7,94579,26952,Cargurus
2007,18,136840,9998,Cargurus
2015,10,72961,17999,Cargurus
2023,2,48025,29149,Autotrader
2020,5,45405,27498,Autotrader
2014 ,11,79033,15444,Autotrader
2018,7,61855,24488,Autotrader
2017,8,99409,16974,Autotrader
2009,16,139100,17500,Autotrader
2002,23,160000,7900,Craigslist
2013,12,103000,15600,Craigslist
2016,9,56000,16800,Craigslist
2008,17,50000,17000,Craigslist
2010,15,85000,15500,Craigslist
2011,14,172000,7500,Craigslist